epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
33,555.124,0.18302,0.97333,1,0.06114,0.00113889,0.00113889,0.00113889
34,567.357,0.15162,0.96444,1,0.05556,0.00112239,0.00112239,0.00112239
35,579.555,0.17999,0.98222,1,0.04158,0.00110589,0.00110589,0.00110589
36,591.416,0.15245,0.96889,1,0.1064,0.00108938,0.00108938,0.00108938
37,603.222,0.14376,0.98222,1,0.05433,0.00107288,0.00107288,0.00107288
38,615.763,0.16117,0.96444,1,0.07358,0.00105638,0.00105638,0.00105638
39,627.845,0.16457,0.97778,1,0.06649,0.00103987,0.00103987,0.00103987
40,639.706,0.14522,0.96,1,0.08639,0.00102337,0.00102337,0.00102337
41,652.284,0.14435,0.96889,1,0.0572,0.00100687,0.00100687,0.00100687
42,662.171,0.137,0.96889,1,0.14238,0.000990365,0.000990365,0.000990365
43,673.665,0.13842,0.95556,1,0.07955,0.000973861,0.000973861,0.000973861
44,687.4,0.13531,0.95556,1,0.08956,0.000957358,0.000957358,0.000957358
45,698.719,0.13265,0.94667,1,0.09101,0.000940855,0.000940855,0.000940855
46,709.997,0.11725,0.96444,1,0.0846,0.000924352,0.000924352,0.000924352
47,722.252,0.13493,0.96889,1,0.07907,0.000907848,0.000907848,0.000907848
48,734.474,0.11964,0.96889,1,0.08807,0.000891345,0.000891345,0.000891345
49,744.435,0.14856,0.95111,1,0.10544,0.000874842,0.000874842,0.000874842
50,754.014,0.10709,0.96444,1,0.06531,0.000858338,0.000858338,0.000858338
51,761.626,0.16524,0.95556,1,0.09798,0.000841835,0.000841835,0.000841835
52,769.022,0.11923,0.96889,1,0.09082,0.000825332,0.000825332,0.000825332
53,776.436,0.11691,0.96889,1,0.06191,0.000808828,0.000808828,0.000808828
54,783.886,0.11569,0.96,1,0.0885,0.000792325,0.000792325,0.000792325
55,791.28,0.11032,0.97778,1,0.05746,0.000775822,0.000775822,0.000775822
56,798.728,0.11773,0.97333,1,0.0675,0.000759318,0.000759318,0.000759318
57,806.131,0.10282,0.96,1,0.07654,0.000742815,0.000742815,0.000742815
58,813.624,0.10768,0.96889,1,0.06301,0.000726312,0.000726312,0.000726312
59,821.112,0.09835,0.95556,1,0.09059,0.000709809,0.000709809,0.000709809
60,828.4,0.09666,0.95556,1,0.08535,0.000693305,0.000693305,0.000693305
61,835.83,0.10237,0.96444,1,0.07174,0.000676802,0.000676802,0.000676802
62,843.19,0.11383,0.96444,1,0.06898,0.000660299,0.000660299,0.000660299
63,850.538,0.09167,0.95556,1,0.13857,0.000643795,0.000643795,0.000643795
64,857.965,0.10721,0.96444,1,0.05941,0.000627292,0.000627292,0.000627292
65,865.269,0.09647,0.96889,1,0.05526,0.000610789,0.000610789,0.000610789
66,872.787,0.08725,0.96889,1,0.07234,0.000594286,0.000594286,0.000594286
67,880.246,0.08498,0.96889,1,0.06216,0.000577782,0.000577782,0.000577782
68,887.719,0.10164,0.97333,1,0.05177,0.000561279,0.000561279,0.000561279
69,895.209,0.10311,0.94222,1,0.09597,0.000544776,0.000544776,0.000544776
70,902.961,0.0936,0.96444,1,0.08761,0.000528272,0.000528272,0.000528272
71,910.839,0.08969,0.96889,1,0.05771,0.000511769,0.000511769,0.000511769
72,920.195,0.08145,0.97333,1,0.06728,0.000495266,0.000495266,0.000495266
73,930.208,0.10376,0.97333,1,0.05908,0.000478762,0.000478762,0.000478762
74,940.066,0.08767,0.97333,1,0.09039,0.000462259,0.000462259,0.000462259
75,950.031,0.11009,0.97333,1,0.07377,0.000445756,0.000445756,0.000445756
76,959.87,0.07443,0.97333,1,0.05334,0.000429253,0.000429253,0.000429253
77,970.507,0.0745,0.97333,1,0.05751,0.000412749,0.000412749,0.000412749
78,980.58,0.06915,0.98222,1,0.04431,0.000396246,0.000396246,0.000396246
79,990.628,0.09794,0.96889,1,0.06437,0.000379743,0.000379743,0.000379743
80,1002.93,0.0795,0.97333,1,0.06798,0.000363239,0.000363239,0.000363239
81,1013.61,0.07602,0.97333,1,0.06277,0.000346736,0.000346736,0.000346736
82,1024.92,0.07961,0.96,1,0.06365,0.000330233,0.000330233,0.000330233
83,1034.83,0.06914,0.96444,1,0.06872,0.000313729,0.000313729,0.000313729
84,1044.61,0.06153,0.97333,1,0.05198,0.000297226,0.000297226,0.000297226
85,1053.81,0.06549,0.97778,1,0.04855,0.000280723,0.000280723,0.000280723
86,1063.17,0.08693,0.96444,1,0.06174,0.00026422,0.00026422,0.00026422
87,1072.1,0.09331,0.97778,1,0.05878,0.000247716,0.000247716,0.000247716
88,1081.06,0.06997,0.97778,1,0.05714,0.000231213,0.000231213,0.000231213
89,1090.64,0.06759,0.96444,1,0.05862,0.00021471,0.00021471,0.00021471
90,1117.03,0.05619,0.97333,1,0.05022,0.000198206,0.000198206,0.000198206
91,1203.35,0.05848,0.97333,1,0.05691,0.000181703,0.000181703,0.000181703
92,1231.09,0.06791,0.97778,1,0.05718,0.0001652,0.0001652,0.0001652
93,1257.55,0.06264,0.97333,1,0.067,0.000148696,0.000148696,0.000148696
94,1284.33,0.05905,0.96444,1,0.06408,0.000132193,0.000132193,0.000132193
95,1311.41,0.0553,0.96444,1,0.06434,0.00011569,0.00011569,0.00011569
96,1338.3,0.06867,0.96444,1,0.05936,9.91865e-05,9.91865e-05,9.91865e-05
97,1365.71,0.06562,0.96889,1,0.06121,8.26832e-05,8.26832e-05,8.26832e-05
98,1392.79,0.06352,0.96444,1,0.06422,6.61799e-05,6.61799e-05,6.61799e-05
99,1420.15,0.05164,0.96444,1,0.06215,4.96766e-05,4.96766e-05,4.96766e-05
100,1441.47,0.05729,0.96889,1,0.0635,3.31733e-05,3.31733e-05,3.31733e-05
